,timestamp,R_estimate,R_variance
10,2020-02-26,2.916822,0.078466
11,2020-02-27,2.904277,0.042633
12,2020-02-28,2.394265,0.028965
13,2020-02-29,2.141743,0.019283
14,2020-03-01,1.992221,0.013979
15,2020-03-02,1.959228,0.010179
16,2020-03-03,1.711106,0.008259
17,2020-03-04,1.492060,0.006931
18,2020-03-05,1.280252,0.006257
19,2020-03-06,1.313294,0.005532
20,2020-03-07,1.511865,0.004716
21,2020-03-08,1.537718,0.004091
22,2020-03-09,1.386832,0.003660
23,2020-03-10,1.478903,0.003074
24,2020-03-11,1.377169,0.002789
25,2020-03-12,1.221407,0.002581
26,2020-03-13,1.163007,0.002410
27,2020-03-14,0.917515,0.002475
28,2020-03-15,0.760551,0.002583
29,2020-03-16,0.803845,0.002688
30,2020-03-17,0.675810,0.003004
31,2020-03-18,0.744871,0.003187
32,2020-03-19,0.790772,0.003440
33,2020-03-20,0.785698,0.003703
34,2020-03-21,0.841251,0.003885
35,2020-03-22,0.894645,0.004047
36,2020-03-23,0.827873,0.004309
37,2020-03-24,0.790714,0.004555
38,2020-03-25,0.666964,0.005036
39,2020-03-26,0.671531,0.005473
40,2020-03-27,0.536998,0.006332
41,2020-03-28,0.429119,0.007395
42,2020-03-29,0.333244,0.008930
43,2020-03-30,0.247264,0.011074
44,2020-03-31,0.107922,0.014329
45,2020-04-01,0.120124,0.018310
46,2020-04-02,0.181222,0.023529
47,2020-04-03,0.301633,0.029315
48,2020-04-04,0.340403,0.036377
49,2020-04-05,0.431576,0.043244
50,2020-04-06,0.473715,0.051184
51,2020-04-07,0.512210,0.059320
52,2020-04-08,0.548171,0.067908
53,2020-04-09,0.365089,0.082192
54,2020-04-10,0.211258,0.099971
55,2020-04-11,0.122149,0.124789
56,2020-04-12,0.019602,0.160476
57,2020-04-13,0.003990,0.203545
58,2020-04-14,0.001030,0.258107
59,2020-04-15,0.000331,0.321345
60,2020-04-16,0.000130,0.391889
61,2020-04-17,0.000061,0.467254
62,2020-04-18,0.000033,0.544140
63,2020-04-19,0.000020,0.618973
64,2020-04-20,0.000014,0.688549
65,2020-04-21,0.000011,0.750535
66,2020-04-22,0.000008,0.803698
